parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 8.4291113200015388E-001, 8.1393295900033991E-001, 3.1442706400002862E-001, 0.0000000000000000E+000, 6.7446051199999602E-001, 6.0835495899937087E-001, 3.5003676983478726E-002, 1.3133494979683746E-002, 3.5870268700386987E-001, 1.5314240300040183E-001
 8.3702142600009211E-001, 8.0804800400005661E-001, 3.1392336099975182E-001, 0.0000000000000000E+000, 6.6909459799990145E-001, 6.0306724499946540E-001, 3.5392756989949703E-002, 1.3177442975120357E-002, 3.5964295799749380E-001, 1.5328311600001143E-001
 8.3902446599950053E-001, 8.1046335800010638E-001, 3.1407890700052121E-001, 0.0000000000000000E+000, 6.7087650100006613E-001, 6.0497300799988807E-001, 3.5157482994009115E-002, 1.3214213011224274E-002, 3.5839980100104185E-001, 1.5342482299956828E-001
 8.4333917400044811E-001, 8.1431906500006335E-001, 3.1311200499976621E-001, 0.0000000000000000E+000, 6.7603836999978739E-001, 6.0901282299982995E-001, 3.5088639987179704E-002, 1.3291437029693043E-002, 3.5937252499661554E-001, 1.5318953799987867E-001
 8.3745762700027626E-001, 8.0854111199982981E-001, 3.1355841900017367E-001, 0.0000000000000000E+000, 6.6972789600026772E-001, 6.0303009899871540E-001, 3.5851990016681157E-002, 1.3464612980442325E-002, 3.5818265199645793E-001, 1.5331798599981994E-001
 8.3805579199952263E-001, 8.0889823900020019E-001, 3.1368771399957041E-001, 0.0000000000000000E+000, 6.7066027100031533E-001, 6.0383035899894821E-001, 3.5190026039799704E-002, 1.3188246037771023E-002, 3.5941530399986732E-001, 1.5348367800015694E-001
 8.4067900700006248E-001, 8.1118247399990651E-001, 3.1265876699990258E-001, 0.0000000000000000E+000, 6.7411125700027696E-001, 6.0855921500092336E-001, 3.5602462064616702E-002, 1.3229524035295981E-002, 3.6011023799619579E-001, 1.5347539700042034E-001
 8.3928021000065200E-001, 8.1061963400043169E-001, 3.1707548199960911E-001, 0.0000000000000000E+000, 6.6963944799977071E-001, 6.0271318399986740E-001, 3.5201944016989728E-002, 1.3200997015474059E-002, 3.6047928200514434E-001, 1.5354759200022272E-001
 8.3512879100044302E-001, 8.0614451799988274E-001, 3.1341624299966497E-001, 0.0000000000000000E+000, 6.6781190500046250E-001, 6.0173439899995174E-001, 3.5277158048529600E-002, 1.3245783042066250E-002, 3.5881287200004408E-001, 1.5343308100023023E-001
 8.3948309699985657E-001, 8.1052721799983374E-001, 3.1409010699962892E-001, 0.0000000000000000E+000, 6.7214136100028554E-001, 6.0555048599985639E-001, 3.5228633050337521E-002, 1.3140574991211906E-002, 3.5932607799873040E-001, 1.5320232400017630E-001
