parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 1.1999585520002256E+000, 1.1377755759999673E+000, 4.9894292399994811E-001, 2.9891679999764165E-002, 9.2744948400036265E-001, 4.5749175699984335E-001, 4.3094858025597205E-002, 1.6934757012677437E-002, 5.2869191699960538E-001, 2.0236442200007332E-001
 1.1987722940000367E+000, 1.1372365080003419E+000, 4.9602279599980648E-001, 2.9632190000256742E-002, 9.3020388300055856E-001, 4.5978462000016407E-001, 4.3613819996608072E-002, 1.7182832978733131E-002, 5.2844119699875591E-001, 2.0265950900056851E-001
 1.1994135550000919E+000, 1.1369121279999490E+000, 4.9403365900070639E-001, 3.0351400999961697E-002, 9.3189668500008338E-001, 4.6256116400104474E-001, 4.3127206012968600E-002, 1.7028967983833354E-002, 5.2869737300216002E-001, 2.0209321500033184E-001
 1.1963463519998641E+000, 1.1327781279999272E+000, 4.9528095499954361E-001, 2.9663583999990806E-002, 9.2602417499983858E-001, 4.5428888799938250E-001, 4.3550359042228592E-002, 1.7182366926363102E-002, 5.2875871000037478E-001, 2.0217050599944741E-001
 1.1907105249997585E+000, 1.1265875869996762E+000, 4.9052460800044173E-001, 2.9280493999749524E-002, 9.2576114699932077E-001, 4.5625342899893440E-001, 4.3316619926144995E-002, 1.7042398009607496E-002, 5.2626081699941096E-001, 2.0274627299977510E-001
 1.1994827670005179E+000, 1.1369776960000308E+000, 4.9236117899999954E-001, 2.9618315999869083E-002, 9.3314561099964521E-001, 4.6200673099974665E-001, 4.3347639048306519E-002, 1.7113607993678670E-002, 5.3614504699862664E-001, 2.0186636500011446E-001
 1.2037886200002959E+000, 1.1432092579996151E+000, 4.9779016800039244E-001, 2.9882785999689077E-002, 9.3406602300069608E-001, 4.6270147500035819E-001, 4.3361181001273508E-002, 1.7097418012781418E-002, 5.2701674199829540E-001, 2.0244802199977130E-001
 1.1971573379996698E+000, 1.1337660860001506E+000, 4.9579633800021838E-001, 2.9440988000260404E-002, 9.2719244500017339E-001, 4.5615583399921888E-001, 4.3262326985768595E-002, 1.6946771986113163E-002, 5.2696017800053596E-001, 2.0267402999979822E-001
 1.1931055549996472E+000, 1.1303729520000161E+000, 4.9117924099982702E-001, 2.9395303999763200E-002, 9.2775492999953713E-001, 4.5667557099977785E-001, 4.3664779030677892E-002, 1.7138049982804660E-002, 5.2817354500052716E-001, 2.0249652599977708E-001
 1.1992822259999230E+000, 1.1365457429997150E+000, 4.9598995099972853E-001, 3.0190688999937265E-002, 9.2847776599978715E-001, 4.5737501000030534E-001, 4.3882351010097409E-002, 1.7236516044476957E-002, 5.2690247200121121E-001, 2.0224408400008542E-001
