parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 2.5802618430004713E+000, 2.3876122710000800E+000, 8.5232138600031249E-001, 0.0000000000000000E+000, 1.9510876179999741E+000, 3.8880908999885833E-001, 6.9788188500751858E-001, 2.8933312098206443E-001, 1.5622619900004793E+000
 2.5743939360002059E+000, 2.3837991370005511E+000, 8.5185998499969173E-001, 0.0000000000000000E+000, 1.9476806009997745E+000, 3.8565783799958808E-001, 7.0777808500065476E-001, 2.8993522499149549E-001, 1.5620257750003930E+000
 2.5853495210003530E+000, 2.3961278219999258E+000, 8.5379753999995955E-001, 0.0000000000000000E+000, 1.9585746639997978E+000, 3.8630175799949029E-001, 6.9704925500309400E-001, 2.8667440303411240E-001, 1.5722769639987746E+000
 2.5731318489997648E+000, 2.3860871460001363E+000, 8.5487969199994041E-001, 0.0000000000000000E+000, 1.9468833589992300E+000, 3.8533609700084526E-001, 6.9762224098758452E-001, 2.8690091799580841E-001, 1.5615440060007586E+000
 2.5834307459999764E+000, 2.3910693619998256E+000, 8.5870752700020603E-001, 0.0000000000000000E+000, 1.9499291280001216E+000, 3.8550899600113553E-001, 6.9679034100067838E-001, 2.8673261301128150E-001, 1.5644022419999146E+000
 2.6409982929997113E+000, 2.4483434280000438E+000, 9.1241585900002065E-001, 0.0000000000000000E+000, 1.9528707510000913E+000, 3.8651860500067414E-001, 6.9785459203581013E-001, 2.8642354899625388E-001, 1.5663217729993448E+000
 2.6368576610000218E+000, 2.4475313529999312E+000, 9.1811141000039242E-001, 0.0000000000000000E+000, 1.9464347859998270E+000, 3.8412809000055859E-001, 6.9485296297580135E-001, 2.8601852004476314E-001, 1.5623084159999507E+000
 2.5685285569998086E+000, 2.3801405110000360E+000, 8.5499199100036094E-001, 0.0000000000000000E+000, 1.9427766300004805E+000, 3.8453994000155944E-001, 6.9768162202763051E-001, 2.8545771103290463E-001, 1.5582136419980088E+000
 2.5753495309998016E+000, 2.3838972369999283E+000, 8.5337927199998376E-001, 0.0000000000000000E+000, 1.9468197030003012E+000, 3.8517383699991115E-001, 6.9971280803815716E-001, 2.8655064701547417E-001, 1.5616315359986856E+000
 2.5788060510001287E+000, 2.3888517500001853E+000, 8.5470749099999921E-001, 0.0000000000000000E+000, 1.9486378460001106E+000, 3.8641615699975773E-001, 6.9819316499251727E-001, 2.8749117799225132E-001, 1.5621881130000475E+000
