parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 5.9690328399997270E+000, 5.9123670760002369E+000, 5.7252940000034869E-001, 2.3029936000284579E-002, 5.5812121549997755E+000, 1.2938678909995360E+000, 2.1365745429841354E+000, 8.4103219697999521E-001, 4.2454315869995298E+000
 5.9606066239996380E+000, 5.9036650849996022E+000, 5.6962029700025596E-001, 2.3313935000032870E-002, 5.5757105539998975E+000, 1.2930114190005497E+000, 2.1398274600237528E+000, 8.4205623797492990E-001, 4.2403647700027705E+000
 5.9666174320000209E+000, 5.9084628840003006E+000, 5.6896248499947433E-001, 2.3334588999659900E-002, 5.5801879319997170E+000, 1.2928740580005069E+000, 2.1389021819834397E+000, 8.4265762600921335E-001, 4.2458673369969802E+000
 5.9653207819999352E+000, 5.9081894840003315E+000, 5.6759551999994073E-001, 2.3479397000073732E-002, 5.5814009460004854E+000, 1.2939524820001225E+000, 2.1369699109936846E+000, 8.4035245501399913E-001, 4.2452493950008829E+000
 5.9625726010001472E+000, 5.9037846499998068E+000, 5.6697972800043317E-001, 2.3501680999515884E-002, 5.5771723559998918E+000, 1.2929818019995309E+000, 2.1310583539434447E+000, 8.3726383398243343E-001, 4.2418246380022993E+000
 5.9694383220000873E+000, 5.9109948079999413E+000, 5.6976054799974918E-001, 2.3226677999900858E-002, 5.5828396969998266E+000, 1.2945945789990674E+000, 2.1395132629859290E+000, 8.4201545698169866E-001, 4.2465289249998932E+000
 5.9598934739995002E+000, 5.9015770399998928E+000, 5.6417043200008266E-001, 2.2839420000309474E-002, 5.5781786150002972E+000, 1.2933938060004948E+000, 2.1395747120084252E+000, 8.3970399495206038E-001, 4.2434653169998455E+000
 5.9644716499999504E+000, 5.9083189339996807E+000, 5.7280162799997925E-001, 2.3250465000273834E-002, 5.5761513250001826E+000, 1.2927145290004773E+000, 2.1394154279905706E+000, 8.4220195099078410E-001, 4.2412506009961817E+000
 5.9592925270005708E+000, 5.9033178709998992E+000, 5.6522983700006080E-001, 2.3218935000841157E-002, 5.5783386360003533E+000, 1.2934345380003833E+000, 2.1374942290278796E+000, 8.4100379501614952E-001, 4.2431090329987455E+000
 5.9660211020002407E+000, 5.9092405349997534E+000, 5.6938324199995805E-001, 2.3269061999599217E-002, 5.5801627289999942E+000, 1.2945687469982659E+000, 2.1399025239786624E+000, 8.4432925998657993E-001, 4.2413661100006266E+000
