parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 4.0210957799945390E-001, 3.8042291399983696E-001, 1.7733098999997310E-001, 0.0000000000000000E+000, 3.2756705799988595E-001, 8.2466086000067662E-002, 1.3915347005649892E-002, 4.1496183994013336E-002, 2.4594055000170556E-001
 3.9290251099964735E-001, 3.7082183899974552E-001, 1.7567349099954299E-001, 0.0000000000000000E+000, 3.1848197900012565E-001, 8.0523444000618838E-002, 1.3827281998146645E-002, 4.1277894021732209E-002, 2.3889247199940655E-001
 3.9643592000015815E-001, 3.7412825799970051E-001, 1.7730724199964243E-001, 0.0000000000000000E+000, 3.1993651099992348E-001, 8.1126525001309346E-002, 1.3739907020863029E-002, 4.1379427004585523E-002, 2.3980799799892338E-001
 3.9535939099982897E-001, 3.7276510399988183E-001, 1.7424187499955224E-001, 0.0000000000000000E+000, 3.2176570400019955E-001, 8.0920330001390539E-002, 1.3857523997103272E-002, 4.1429043978951086E-002, 2.4163264999833700E-001
 3.9395780599943464E-001, 3.7145909299988489E-001, 1.7445011300014812E-001, 0.0000000000000000E+000, 3.2021941800007880E-001, 8.0968422998921596E-002, 1.3617063032825172E-002, 4.1227978000279109E-002, 2.4013282399710079E-001
 3.9401410599998599E-001, 3.7198137999962455E-001, 1.7744155200011846E-001, 0.0000000000000000E+000, 3.1784558200001811E-001, 8.0689468000173292E-002, 1.4194973007306544E-002, 4.1332196019766343E-002, 2.3812895499941078E-001
 3.9145423600029972E-001, 3.6856452499978332E-001, 1.7361752099964178E-001, 0.0000000000000000E+000, 3.1846194800027661E-001, 8.0634110001255976E-002, 1.3690306004036756E-002, 4.1269598001690611E-002, 2.3879566699929455E-001
 3.9271487900009561E-001, 3.7002623300031701E-001, 1.7532240100035779E-001, 0.0000000000000000E+000, 3.1775015800030815E-001, 8.0616156999212762E-002, 1.3671260982164313E-002, 4.1270356982522571E-002, 2.3807605300066825E-001
 3.9405473800002255E-001, 3.7135660700027984E-001, 1.7696955899964451E-001, 0.0000000000000000E+000, 3.1780961599974944E-001, 8.0532514000651645E-002, 1.3639835965932434E-002, 4.1252961987311210E-002, 2.3819767400073033E-001
 3.9228501100001267E-001, 3.6951093600009699E-001, 1.7452025500006130E-001, 0.0000000000000000E+000, 3.1850328200039257E-001, 8.0741101999137754E-002, 1.3684206999187154E-002, 4.1247783000244453E-002, 2.3868799299975763E-001
