parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 1.8616343999929086E-001, 1.6849433399966074E-001, 1.0892100299952290E-001, 6.1830700001337391E-003, 6.3699900999836245E-002, 1.7883476999031700E-002, 1.6353810269720270E-003, 7.0022800537117291E-004, 3.8880898000570596E-002, 9.5996390000436804E-003
 1.7823150699996404E-001, 1.6036772400047994E-001, 9.9022966999200435E-002, 6.3257689989768551E-003, 6.0561365000012302E-002, 1.7239607998817519E-002, 1.6355149937226088E-003, 7.1379302698915126E-004, 3.4169108000241977E-002, 5.3907340002297133E-003
 1.8465491000051770E-001, 1.6682839100076308E-001, 1.0699650000060501E-001, 6.5686219995768624E-003, 6.0850995000237162E-002, 1.7068070000732405E-002, 1.6175659879991144E-003, 6.9846999758738093E-004, 3.4520418998454261E-002, 6.6294799999013776E-003
 1.8334113999935653E-001, 1.6573794900068606E-001, 1.0527621099981843E-001, 6.6221350002706458E-003, 6.4091255999755958E-002, 2.0520744000350533E-002, 1.6391059889429016E-003, 7.2233599894389044E-004, 3.7773639001898118E-002, 9.1061659995830269E-003
 1.7893386600007943E-001, 1.6107179900063784E-001, 9.9892057000488421E-002, 6.3424640002267552E-003, 6.0382098999070877E-002, 1.7161233000479115E-002, 1.6974830155049858E-003, 7.0284799085129634E-004, 3.4304560003420193E-002, 6.0920319983779336E-003
 1.8565194500024518E-001, 1.6787325599943870E-001, 1.0767889499948069E-001, 6.2698219999219873E-003, 6.2862847000360489E-002, 1.7965775999527978E-002, 1.6213180210797873E-003, 7.0026699631853262E-004, 3.5755502000483830E-002, 8.4057599997322541E-003
 1.8150691999971968E-001, 1.6349828899910790E-001, 1.0242212899947845E-001, 6.2681379999958153E-003, 5.9683281000161514E-002, 1.6440199000953726E-002, 1.6678999941177608E-003, 7.0181402634261758E-004, 3.3807133998834615E-002, 5.3266260010786937E-003
 1.8020515599937426E-001, 1.6235220699900310E-001, 1.0316383300050802E-001, 6.4408839998577605E-003, 6.2124871999913012E-002, 1.9046122000872856E-002, 1.6340180118277203E-003, 7.1585998875889345E-004, 3.6999410005137179E-002, 7.8035639999143314E-003
 1.7852961900052833E-001, 1.6050213699963933E-001, 9.9771637999310769E-002, 6.3658909998594027E-003, 6.0292553999715892E-002, 1.6549282999221759E-002, 1.6522700066161633E-003, 7.0328501305993996E-004, 3.4514079004111409E-002, 5.6143179990613135E-003
 1.8793750600070780E-001, 1.7007170099941504E-001, 1.1080833900086873E-001, 6.8968709997534461E-003, 6.2987009000153193E-002, 1.7546773999129073E-002, 1.6686630028743821E-003, 7.1537401254317956E-004, 3.7896528001510887E-002, 8.9191509996453533E-003
