parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 1.3306960199997775E-001, 1.1164515699965705E-001, 8.0461560000003374E-002, 0.0000000000000000E+000, 2.8228551998836338E-002, 5.7060829999500129E-003, 1.1375579838386329E-003, 5.0891899763882975E-004, 1.2114894003389054E-002, 2.6503989993216237E-003
 1.7336268000008204E-001, 1.5155375500035007E-001, 1.2131841600012194E-001, 0.0000000000000000E+000, 5.1143016999958490E-002, 5.4947369999354123E-003, 1.1321019710521796E-003, 5.1401498512859689E-004, 3.5169742998277798E-002, 2.6086441999268573E-002
 1.5476534800063746E-001, 1.3203338299990719E-001, 1.0044470300044850E-001, 0.0000000000000000E+000, 3.7968638000165811E-002, 5.4648969980917173E-003, 1.0950280038741766E-003, 4.9369098860552185E-004, 2.1022081998580688E-002, 1.1568703000648384E-002
 1.3393119300008038E-001, 1.1211962399966069E-001, 8.0990168999051093E-002, 0.0000000000000000E+000, 2.8368202000365272E-002, 5.4454739997709112E-003, 1.1469440091786964E-003, 5.0327298458796577E-004, 1.2165205998371675E-002, 2.5804460001381813E-003
 1.3509146900014457E-001, 1.1280841999951008E-001, 8.2107492999966780E-002, 0.0000000000000000E+000, 2.8651086000081705E-002, 5.4973950000203331E-003, 1.0837759978130634E-003, 4.9766101165005239E-004, 1.2325365004016930E-002, 3.0636559999948076E-003
 1.3573476800002027E-001, 1.1382789600065735E-001, 8.2505530999696930E-002, 0.0000000000000000E+000, 2.8421332000561961E-002, 5.6214399996861175E-003, 1.1327520137456304E-003, 5.1514900951588061E-004, 1.2311475006754335E-002, 2.6467919997230638E-003
 1.3657600999931674E-001, 1.1465979900003731E-001, 8.3414221000566613E-002, 0.0000000000000000E+000, 2.8631734999635228E-002, 5.5941690011422907E-003, 1.1215159865969326E-003, 5.0394401296216529E-004, 1.2547151000944723E-002, 2.6299040000594687E-003
 1.3527099299972178E-001, 1.1338186799912364E-001, 8.2180011000673403E-002, 0.0000000000000000E+000, 2.8814432999297424E-002, 5.5998949992499547E-003, 1.1074439926233026E-003, 5.0995002584386384E-004, 1.2219992000609636E-002, 2.9335669996726210E-003
 1.3466287199935323E-001, 1.1301611199860417E-001, 8.2191781998517399E-002, 0.0000000000000000E+000, 2.8599492999092035E-002, 5.5965619999369665E-003, 1.1421390072428039E-003, 5.0956400855284301E-004, 1.2733441002183099E-002, 2.9107519985700492E-003
 1.3595076100000369E-001, 1.1417745799872137E-001, 8.3114737000414607E-002, 0.0000000000000000E+000, 2.8959154000858689E-002, 5.7021909992727160E-003, 1.2030359998789208E-003, 5.0486801455917885E-004, 1.2307512001825671E-002, 3.2673440000507981E-003
