parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 1.8038714150002306E+000, 1.5884375100008583E+000, 1.0818049890008297E+000, 7.9711949983902741E-003, 6.0098458099946583E-001, 8.7233387998367107E-002, 2.6625469804685054E-001, 1.3084081201259323E-001, 3.1934913700069956E-001
 1.7350813399998515E+000, 1.5188720839996677E+000, 1.0101439649997701E+000, 7.7451189995372260E-003, 5.4546886099979019E-001, 8.5586952998710331E-002, 2.6675230307182574E-001, 1.2964924904144937E-001, 2.6399162999496184E-001
 1.7280461059999652E+000, 1.5153591999996934E+000, 1.0167514430013398E+000, 7.7563049994751054E-003, 5.7605558400018708E-001, 8.6971353000080853E-002, 2.6593249298184674E-001, 1.2916899898618794E-001, 2.9790220899940323E-001
 1.7573035129998971E+000, 1.5425228720000632E+000, 1.0376888659998258E+000, 7.6446470002338174E-003, 5.6282667899995431E-001, 8.7519711999902938E-002, 2.6804127000696099E-001, 1.3050945801160196E-001, 2.8641122899898619E-001
 1.7005409970010987E+000, 1.4858023799997682E+000, 9.7225065800057564E-001, 7.9626539991295431E-003, 5.5235189199993329E-001, 8.6350683000546269E-002, 2.6692174099071053E-001, 1.2956978899546812E-001, 2.6964423200024612E-001
 1.6922824709999986E+000, 1.4778003169999465E+000, 9.6604926899908605E-001, 8.1700700011424487E-003, 5.5619520500022190E-001, 8.5389387002123840E-002, 2.6634342904435471E-001, 1.3047387900587637E-001, 2.7530501400133289E-001
 1.7885735919999206E+000, 1.5750746080002500E+000, 1.0741984820010657E+000, 7.8112049991432286E-003, 5.7572442099990440E-001, 8.6726144998010568E-002, 2.6560573203505555E-001, 1.2986829800502164E-001, 2.9461270400315698E-001
 1.6847687949998544E+000, 1.4725915210001403E+000, 9.7163475500019558E-001, 8.2144410002911172E-003, 5.5765485199981413E-001, 8.6554497001543496E-002, 2.6553733305627247E-001, 1.3012795698296031E-001, 2.7723923599660338E-001
 1.7490173840001262E+000, 1.5367606269992393E+000, 1.0386017599994375E+000, 7.9216849999284022E-003, 5.6940578600051595E-001, 8.7364924999292271E-002, 2.6652175002209333E-001, 1.3208819396413674E-001, 2.8680311199786956E-001
 1.7313253789998271E+000, 1.5178036560005239E+000, 1.0092275209999571E+000, 7.4312679994363862E-003, 5.5474286899971048E-001, 8.6574440000731556E-002, 2.6553687096247813E-001, 1.3032159303020308E-001, 2.7086148399575904E-001
