parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 2.0234371599963197E-001, 1.9917666599985751E-001, 2.9911033000644238E-002, 0.0000000000000000E+000, 1.7061205900063214E-001, 3.2374541999161011E-002, 1.1294976000044699E-001, 3.7373237991687347E-002, 1.1237229200651200E-001
 8.6466109999491891E-002, 8.3228697001231922E-002, 2.9292203000750305E-002, 0.0000000000000000E+000, 5.5449727001359861E-002, 1.1282137999387487E-002, 2.3414007005158055E-002, 1.1968479004281107E-002, 3.3398793999367626E-002
 8.6237229000744264E-002, 8.2877361998725974E-002, 2.9376531000707473E-002, 0.0000000000000000E+000, 5.5136293999566988E-002, 1.1194987000635592E-002, 2.3038801001348475E-002, 1.1714706000020669E-002, 3.3049640003810055E-002
 8.5631021000608598E-002, 8.2433242000206519E-002, 2.9313381999145349E-002, 0.0000000000000000E+000, 5.4719828999623132E-002, 1.1108250001143460E-002, 2.2952379996695527E-002, 1.1726970004474424E-002, 3.2957953998447920E-002
 8.6295037999661872E-002, 8.3240452999689296E-002, 2.9926470999726007E-002, 0.0000000000000000E+000, 5.5000189000111277E-002, 1.1091574001056870E-002, 2.3034658002416109E-002, 1.1696963995291298E-002, 3.3445101004417666E-002
 8.7648562001049868E-002, 8.4349423000730894E-002, 3.0511218999436096E-002, 0.0000000000000000E+000, 5.5910139999468811E-002, 1.1302054000680073E-002, 2.3508802007199847E-002, 1.1926647006021085E-002, 3.4012821002306737E-002
 8.7591043999964313E-002, 8.4670133000145142E-002, 2.9849376000129269E-002, 0.0000000000000000E+000, 5.6043647999558743E-002, 1.1423448998812091E-002, 2.3728572996787989E-002, 1.2131125995892944E-002, 3.4367183000085788E-002
 8.6374036000961496E-002, 8.3214987998871948E-002, 2.9702170999826194E-002, 0.0000000000000000E+000, 5.4833224000049086E-002, 1.1089671000718226E-002, 2.3112047004360647E-002, 1.1758979997466668E-002, 3.3388920999641414E-002
 8.6530028999732167E-002, 8.3455376000529213E-002, 2.9888201999710873E-002, 0.0000000000000000E+000, 5.5232752000847540E-002, 1.1118315000658185E-002, 2.2953755993057712E-002, 1.1989505003384693E-002, 3.3627328000875423E-002
 8.6003645000346296E-002, 8.2824345999597426E-002, 2.9527099999995698E-002, 0.0000000000000000E+000, 5.4787987000054272E-002, 1.1039549000543047E-002, 2.3069074997692951E-002, 1.1657569991712080E-002, 3.2839784996667731E-002
