parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 1.4760475500042958E-001, 1.3085422900030608E-001, 1.0079036900060601E-001, 0.0000000000000000E+000, 3.2522505000542878E-002, 1.1591340000450145E-002, 1.7817240013755509E-003, 6.4030140097202093E-003, 1.4244440996662888E-002
 1.5513431599993055E-001, 1.3783145399929708E-001, 1.0817750600017462E-001, 0.0000000000000000E+000, 3.4690016000695323E-002, 1.1401641001157259E-002, 1.7607900176699331E-003, 6.4344289994551218E-003, 1.6634998999052186E-002
 1.4754048799977681E-001, 1.3013901799968153E-001, 9.9175660999208048E-002, 0.0000000000000000E+000, 3.1630641000447213E-002, 1.1287212002116576E-002, 1.7892789733195968E-003, 6.4255819838763273E-003, 1.3617818002785498E-002
 1.4739827099947433E-001, 1.3030529299931004E-001, 9.9901013999442512E-002, 0.0000000000000000E+000, 3.1424990000687103E-002, 1.1380902999462705E-002, 1.7734400057634048E-003, 6.5258039912805543E-003, 1.3344911000785942E-002
 1.5184243899921057E-001, 1.3444736599967655E-001, 1.0460437999881833E-001, 0.0000000000000000E+000, 3.3878045999244932E-002, 1.1381427999367588E-002, 1.7717980008455925E-003, 6.4352369963671663E-003, 1.5745691004212858E-002
 1.4762079900037861E-001, 1.3016089499933514E-001, 1.0003958900006182E-001, 0.0000000000000000E+000, 3.1192273999749887E-002, 1.1477628001102858E-002, 1.7586559956725978E-003, 6.4278380104951793E-003, 1.3221034000252985E-002
 1.4637603199980731E-001, 1.2929516500025784E-001, 9.8171344999627763E-002, 0.0000000000000000E+000, 3.1847285999901942E-002, 1.1607965997427527E-002, 1.8081439993693493E-003, 6.6369889905217860E-003, 1.3599936999980855E-002
 1.4555485599930762E-001, 1.2842820500009111E-001, 9.7442450000016834E-002, 0.0000000000000000E+000, 3.1416370999977516E-002, 1.1532981997788738E-002, 1.7610359968784906E-003, 6.6615210134841618E-003, 1.3381113998093497E-002
 1.5103717400006644E-001, 1.3383971999974165E-001, 1.0401046699917060E-001, 0.0000000000000000E+000, 3.2070593999378616E-002, 1.1448519000623492E-002, 1.7642599891587452E-003, 6.4378079964626522E-003, 1.3680973999726120E-002
 1.5320434800014482E-001, 1.3577511100038464E-001, 1.0607900100103507E-001, 0.0000000000000000E+000, 3.7601804000132688E-002, 1.1520037998707267E-002, 1.7890089707179868E-003, 6.5184919885723502E-003, 1.9462416002170357E-002
