parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 1.1039328020003722E+000, 9.8056643000018084E-001, 6.7816147300027296E-001, 0.0000000000000000E+000, 2.9136023900036889E-001, 1.1614142500047819E-001, 1.3233209007012192E-002, 6.1454700230569870E-003, 8.5477393997280160E-002, 2.2600358999852688E-002
 1.0911772500001007E+000, 9.6617013300010512E-001, 6.8024857299974428E-001, 0.0000000000000000E+000, 2.8560251099997913E-001, 1.1141534599892111E-001, 1.3730257008774061E-002, 6.3631230186729226E-003, 9.8370533003162564E-002, 3.0645139000171184E-002
 1.0823628339994684E+000, 9.5439467900041564E-001, 6.7533518000027470E-001, 0.0000000000000000E+000, 2.6828899099973569E-001, 9.3326738000087062E-002, 1.2534245944152644E-002, 5.7823410234050243E-003, 9.4900171002791467E-002, 3.3308632000171201E-002
 1.0825195929996880E+000, 9.5960407199982001E-001, 6.7911979000018619E-001, 0.0000000000000000E+000, 2.7040541899987147E-001, 9.5984515000054671E-002, 1.2678984962349205E-002, 5.9809530116581300E-003, 8.4203219998016721E-002, 3.0536828001004324E-002
 1.1157638019994920E+000, 9.8837295700059258E-001, 6.8195930199863142E-001, 0.0000000000000000E+000, 2.9658633400140388E-001, 1.2012523600014902E-001, 1.3128510036040097E-002, 6.1972370699550083E-003, 8.5318780998022703E-002, 2.9458254000473971E-002
 1.0963963120002518E+000, 9.7148246800043125E-001, 6.8196173200021803E-001, 0.0000000000000000E+000, 2.7903098500019041E-001, 1.0355633000244779E-001, 1.3137018007455481E-002, 6.1436640435204026E-003, 1.0102848099859330E-001, 4.3821287999890046E-002
 1.1055891959995279E+000, 9.8171066799977780E-001, 6.8251969599941731E-001, 0.0000000000000000E+000, 2.8699655000036728E-001, 1.1175843300225097E-001, 1.3034148033966630E-002, 6.1226240222822526E-003, 1.0292924099894663E-001, 3.8127275000533700E-002
 1.1345524499993189E+000, 1.0121778220004671E+000, 6.9116598799973872E-001, 0.0000000000000000E+000, 3.1149690000029295E-001, 1.3799109899946416E-001, 1.2537176949081186E-002, 6.1104629685360123E-003, 9.4182492002346407E-002, 2.9645226999491570E-002
 1.0691837200006375E+000, 9.4269826499976261E-001, 6.7074380899930475E-001, 0.0000000000000000E+000, 2.6633345500022187E-001, 8.6153935998481757E-002, 1.2322562986355479E-002, 5.7748669814827736E-003, 9.4987530002072162E-002, 2.4933623999459087E-002
 1.0694033650001984E+000, 9.4755745000020397E-001, 6.7452093400015656E-001, 0.0000000000000000E+000, 2.6269320199980939E-001, 8.8991782999983116E-002, 1.3205105969063879E-002, 6.1686309986725973E-003, 8.4415314996476809E-002, 2.8029352999510593E-002
