parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 6.5682290870000770E+000, 5.7602353580000454E+000, 2.7563426559997879E+000, 0.0000000000000000E+000, 3.0528772839999192E+000, 2.9584021000027860E-001, 1.6111615340022354E+000, 6.8665002499619732E-001, 9.5502600400072879E-001
 6.3823197030003485E+000, 5.5621136410001100E+000, 2.7552980119997983E+000, 0.0000000000000000E+000, 2.8594799990000865E+000, 2.9341891100000339E-001, 1.4667806620193460E+000, 6.5247679899505329E-001, 9.2274952600018878E-001
 6.4053183470000477E+000, 5.5914413030000105E+000, 2.7656776119999904E+000, 0.0000000000000000E+000, 2.8810606900005951E+000, 2.8860283199924197E-001, 1.4688280490147463E+000, 6.4270007899062875E-001, 9.6104236400128684E-001
 6.3648653670004478E+000, 5.5609319879997656E+000, 2.7338772979999248E+000, 0.0000000000000000E+000, 2.8544037480000952E+000, 2.9185783399930187E-001, 1.4775447199863265E+000, 6.5137136699127041E-001, 9.1761481200114758E-001
 6.4177198300001237E+000, 5.6077176989999771E+000, 2.8032066640002995E+000, 0.0000000000000000E+000, 2.8823299910000060E+000, 2.8510725699879913E-001, 1.4679432430339148E+000, 6.4782566702547228E-001, 9.6688259300162827E-001
 6.3260744399999567E+000, 5.5332791929999985E+000, 2.7215625350002028E+000, 0.0000000000000000E+000, 2.8124441279994699E+000, 2.8797584900075890E-001, 1.4615999269881286E+000, 6.4092268300260002E-001, 9.0632361700045294E-001
 6.4045030920001409E+000, 5.5932978840000942E+000, 2.7531722610001452E+000, 0.0000000000000000E+000, 2.8739817829998628E+000, 2.8817338600129005E-001, 1.4672284460007177E+000, 6.4312477802673129E-001, 9.6215671400000247E-001
 6.3898315500000535E+000, 5.5847408779995931E+000, 2.7703580249994957E+000, 0.0000000000000000E+000, 2.8482370929998524E+000, 2.8909991100090338E-001, 1.4677880330198150E+000, 6.4598756299892557E-001, 9.4432671000049595E-001
 6.4121842989998186E+000, 5.6051207269999850E+000, 2.7707232189998194E+000, 0.0000000000000000E+000, 2.8687470269996993E+000, 2.8461178600173298E-001, 1.4714309689775291E+000, 6.4121227699888550E-001, 9.5732990799638173E-001
 6.3695810050003274E+000, 5.5666989119993104E+000, 2.7227420590002112E+000, 0.0000000000000000E+000, 2.8433284330001243E+000, 2.8907713199987484E-001, 1.4675765009606039E+000, 6.4407936196062110E-001, 9.3337631700114798E-001
