parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 1.6081051108000111E+001, 1.4169958438999629E+001, 9.0601712560001033E+000, 0.0000000000000000E+000, 5.1748110760000827E+000, 1.9865032149992885E+000, 2.8242526501060183E-001, 2.1157013560198266E+000, 1.8635266980007827E+000
 1.5640229424999916E+001, 1.3706149255999890E+001, 9.0234899670002733E+000, 0.0000000000000000E+000, 4.7200434180005004E+000, 2.2553412039999330E+000, 1.6465213203821349E-001, 2.2276230100093244E+000, 1.2328518529994881E+000
 1.5520641239000270E+001, 1.3663628416000165E+001, 9.0332715950000875E+000, 0.0000000000000000E+000, 4.5633658780000133E+000, 1.9562732499987305E+000, 1.3639827801534921E-001, 2.1863854930434172E+000, 1.2890631670011317E+000
 1.5460093607000090E+001, 1.3381044933000112E+001, 9.0111827779994655E+000, 0.0000000000000000E+000, 4.4194891270003609E+000, 1.9993923600000016E+000, 2.0945078999170619E-001, 2.1314865609908793E+000, 1.0820909600006416E+000
 1.5528158323999833E+001, 1.3614294440999856E+001, 8.9768025320008746E+000, 0.0000000000000000E+000, 4.6530877860000146E+000, 1.9812615139987884E+000, 2.3191289604574195E-001, 2.1123269620245537E+000, 1.3271972779996304E+000
 1.5294245998999941E+001, 1.3383583359000113E+001, 9.0527513409997482E+000, 0.0000000000000000E+000, 4.3760861089992886E+000, 1.9129591310004344E+000, 1.3769953092946707E-001, 2.1212136290198487E+000, 1.1100701549994483E+000
 1.5574327339000092E+001, 1.3614540572999886E+001, 9.0141714819997105E+000, 0.0000000000000000E+000, 4.6153593889996500E+000, 1.9490049879998423E+000, 1.5102306501125895E-001, 2.1219605200196838E+000, 1.3493729249978514E+000
 1.5634604945999854E+001, 1.3702580842000316E+001, 9.0545242370001233E+000, 0.0000000000000000E+000, 4.6791341939997437E+000, 1.8951746039997488E+000, 1.6179628302143101E-001, 2.1092681360228198E+000, 1.4802816130015799E+000
 1.5760987847000024E+001, 1.3797775750000028E+001, 9.0425077999998393E+000, 0.0000000000000000E+000, 4.7638639680001234E+000, 1.8795722929996828E+000, 3.2804549204251998E-001, 2.1168189849897772E+000, 1.5617445029997725E+000
 1.5719392470000685E+001, 1.3802161791999879E+001, 9.0465331479999804E+000, 0.0000000000000000E+000, 4.8254971889996341E+000, 1.8909837430001062E+000, 1.3365313099029663E-001, 2.1104265560172735E+000, 1.6330717539988200E+000
