parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 2.0181146197000317E+001, 1.6924053503000096E+001, 1.3831303683999977E+001, 0.0000000000000000E+000, 3.0915780629995879E+000, 1.4462656099840387E-001, 5.2269884042516424E-002, 2.4211143012053071E-002, 6.5039017399863042E-001, 2.4101015900009770E-001
 2.0154771372000141E+001, 1.6896188048000568E+001, 1.3803845830000910E+001, 0.0000000000000000E+000, 3.1246161249996476E+000, 1.5270303099941884E-001, 5.2518580981768537E-002, 2.4669651017575234E-002, 7.1110848399803217E-001, 3.0257634899976438E-001
 2.0236162159999822E+001, 1.6970907603000342E+001, 1.3858435652999560E+001, 0.0000000000000000E+000, 3.1712139340006615E+000, 1.6690618300003734E-001, 5.1857776005363121E-002, 2.4280719987245902E-002, 7.4529409999922791E-001, 3.0644946799998252E-001
 2.0278083410000363E+001, 1.7018177291000029E+001, 1.3945823315000098E+001, 0.0000000000000000E+000, 3.0462855140003740E+000, 1.3902594700061854E-001, 5.1911994013380536E-002, 2.4406888023804640E-002, 6.5985391000140226E-001, 2.1848429100009525E-001
 2.0221295339999642E+001, 1.6949381157999596E+001, 1.3855167877000440E+001, 0.0000000000000000E+000, 3.0947441809998963E+000, 1.5921743400008381E-001, 5.1760788941464853E-002, 2.4218051023353837E-002, 7.0733446800136335E-001, 2.5901853400000618E-001
 2.0341659775999915E+001, 1.7084523913000112E+001, 1.3939645295999981E+001, 0.0000000000000000E+000, 3.2085337860005438E+000, 2.0519360499861250E-001, 5.2243563034380713E-002, 2.4474922958461320E-002, 7.2542158299847870E-001, 2.6967320600033418E-001
 2.0290980554000726E+001, 1.7028664891000290E+001, 1.3948038411999732E+001, 0.0000000000000000E+000, 3.0989546749995043E+000, 1.2920617399913681E-001, 5.2058500010844000E-002, 2.4592548013288251E-002, 6.5558403099748830E-001, 2.6858835400003045E-001
 2.0213376599000412E+001, 1.6966955654000458E+001, 1.3844303765000404E+001, 0.0000000000000000E+000, 3.1319507259997863E+000, 1.6475888900049540E-001, 5.2090077927687162E-002, 2.4429946974350969E-002, 6.9822781500101883E-001, 2.3773700099945927E-001
 2.0330447951999759E+001, 1.7072432548000052E+001, 1.3953338189000078E+001, 0.0000000000000000E+000, 3.1313804260000779E+000, 1.9260907000148109E-001, 5.1833756016321786E-002, 2.4422763963457328E-002, 6.8088058199896295E-001, 2.2710337199987407E-001
 2.0140359484000555E+001, 1.6881472625000015E+001, 1.3799705591000247E+001, 0.0000000000000000E+000, 3.1125554760001251E+000, 1.5820960399992146E-001, 5.1901285023632227E-002, 2.4223745986546419E-002, 6.9048104100215824E-001, 2.8302141199992548E-001
