parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 1.0267411794000282E+001, 8.8058975490000648E+000, 5.6501169089999621E+000, 0.0000000000000000E+000, 3.1075872060000620E+000, 3.3685636200016233E-001, 1.3280341219899583E+000, 6.7667685099058872E-001, 8.9600547199984248E-001
 1.0174844267000026E+001, 8.7028822779998336E+000, 5.5924485470002310E+000, 0.0000000000000000E+000, 3.0787391289998141E+000, 3.3243523899864158E-001, 1.3162837460063201E+000, 6.7287313302176699E-001, 8.9135390100045697E-001
 1.0218025862000104E+001, 8.7569160729997293E+000, 5.6554574509998474E+000, 0.0000000000000000E+000, 3.0667710509999324E+000, 3.2992714500210241E-001, 1.3238163071027884E+000, 6.6961610098542224E-001, 8.6966182299966022E-001
 1.0182515453000406E+001, 8.7129735359999358E+000, 5.5996755680000661E+000, 0.0000000000000000E+000, 3.0730064089996176E+000, 3.4290072299995700E-001, 1.3424519169639098E+000, 6.5819522196397884E-001, 8.9707961100225475E-001
 1.0167028491000337E+001, 8.6997614140000223E+000, 5.5860141979999298E+000, 0.0000000000000000E+000, 3.0816779869994662E+000, 3.2688907499846209E-001, 1.3215041580156139E+000, 6.6562624499647427E-001, 8.8474692900058471E-001
 1.0195128046000264E+001, 8.7187617159995625E+000, 5.5982523630002561E+000, 0.0000000000000000E+000, 3.0818417140001202E+000, 3.3845584200003032E-001, 1.3178081799774191E+000, 6.7117894799275746E-001, 8.9688078900144319E-001
 1.0262723675000188E+001, 8.8071952289999444E+000, 5.6478944240000146E+000, 0.0000000000000000E+000, 3.1181709359998422E+000, 3.4522761800076296E-001, 1.3300501649709986E+000, 6.6367587300283049E-001, 9.1013344099997084E-001
 1.0165497121000044E+001, 8.7024342019997221E+000, 5.5873488080003426E+000, 0.0000000000000000E+000, 3.0777660359995025E+000, 3.3921301200030030E-001, 1.3205493010711962E+000, 6.8243046603015500E-001, 8.6708933199770399E-001
 1.0205577197999901E+001, 8.7422952060001080E+000, 5.6363790949999384E+000, 0.0000000000000000E+000, 3.0761428040000283E+000, 3.3971812499976295E-001, 1.3236377950613587E+000, 6.8702304197859121E-001, 8.8841061899825036E-001
 1.0227821591000065E+001, 8.7682894529998521E+000, 5.6694855070002177E+000, 0.0000000000000000E+000, 3.0628624449998370E+000, 3.2778276000044571E-001, 1.3234045699412036E+000, 6.8382347699093771E-001, 8.7737920299787220E-001
