parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 4.5670863357999451E+001, 3.8745802929000320E+001, 3.1920638265000207E+001, 0.0000000000000000E+000, 6.4912237889998323E+000, 2.4112262100061344E-001, 1.9435134024433864E-002, 2.1052782948117965E-002, 7.8813683100156595E-001
 4.5717035369999849E+001, 3.8779048435000050E+001, 3.1911994121999669E+001, 0.0000000000000000E+000, 6.5554195079998863E+000, 2.5498042399976839E-001, 1.9508565160094804E-002, 2.1042301963007048E-002, 7.7131523699904392E-001
 4.6022381833999589E+001, 3.9090349163000383E+001, 3.2124150672000269E+001, 0.0000000000000000E+000, 6.7889434849998906E+000, 2.9778211699954227E-001, 2.0113618970754032E-002, 2.1036661941707280E-002, 1.1036750640009814E+000
 4.5698299880999684E+001, 3.8768041572999437E+001, 3.2082779558000084E+001, 0.0000000000000000E+000, 6.5358561349996762E+000, 2.8160934999891651E-001, 1.9309085950908411E-002, 2.1067717070081926E-002, 7.7059558299902164E-001
 4.6125196009000774E+001, 3.9188794468999731E+001, 3.2407607581000320E+001, 0.0000000000000000E+000, 6.6492488430012600E+000, 2.9795411099894409E-001, 1.9364250113994785E-002, 2.0997681995595485E-002, 9.0538470799947390E-001
 4.5614753743000620E+001, 3.8686131507000482E+001, 3.1915628756000388E+001, 0.0000000000000000E+000, 6.4598670069995023E+000, 2.5984542699916346E-001, 1.9043056249302026E-002, 2.0978192992970435E-002, 7.6618400599909364E-001
 4.5759147484999630E+001, 3.8826205454000046E+001, 3.1897431402000166E+001, 0.0000000000000000E+000, 6.5826121420000163E+000, 2.7264276799996878E-001, 2.1065649053980451E-002, 2.1045940017756948E-002, 8.4152913299931242E-001
 4.6011985314999947E+001, 3.9061629807999452E+001, 3.2293327471999419E+001, 0.0000000000000000E+000, 6.5437833889996000E+000, 2.1879707200196208E-001, 1.9389146114917821E-002, 2.1053903998563328E-002, 8.4074952499940991E-001
 4.5787796398000410E+001, 3.8858455815000070E+001, 3.1920094492999851E+001, 0.0000000000000000E+000, 6.6593889999999192E+000, 2.5594520600088799E-001, 2.4459422917971096E-002, 2.3283400032141799E-002, 8.4896312400132956E-001
 4.5941253558999506E+001, 3.8998652689001574E+001, 3.1906807756001399E+001, 0.0000000000000000E+000, 6.7518162419992223E+000, 3.2783818400093878E-001, 1.9267297998794675E-002, 2.1359553950333066E-002, 1.0072433859995726E+000
