parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 1.1330281418000141E+001, 9.5718914749995747E+000, 8.5239829570001575E+000, 0.0000000000000000E+000, 1.2463018409997630E+000, 4.4304750999458520E-002, 2.8694641998754378E-002, 1.2696331005145112E-002, 3.5581136900202637E-001, 2.6914004500008559E-001
 1.1313537979999865E+001, 9.5568536519997451E+000, 8.5096308059996772E+000, 0.0000000000000000E+000, 1.2350706890003949E+000, 4.2931915000963272E-002, 2.8816697050388029E-002, 1.2775167996096570E-002, 3.2284175900099399E-001, 2.4712366199992175E-001
 1.1323861120999936E+001, 9.5678667840002163E+000, 8.5259242100000847E+000, 0.0000000000000000E+000, 1.2451580710001053E+000, 4.0016074999812190E-002, 2.8614723005148335E-002, 1.2733870001966352E-002, 3.3954254099921855E-001, 2.6591474500014556E-001
 1.1426879167000152E+001, 9.6677767370001675E+000, 8.5892354980001073E+000, 0.0000000000000000E+000, 1.2813666020003893E+000, 3.7589962000311061E-002, 2.8385366976635851E-002, 1.2769010000738490E-002, 3.7410790700027974E-001, 2.7109586599908653E-001
 1.1400860814999987E+001, 9.6383824580002511E+000, 8.5346576229997027E+000, 0.0000000000000000E+000, 1.2958627489999799E+000, 7.7984384998899259E-002, 2.8740422071450666E-002, 1.3278260018296351E-002, 3.4647742699849005E-001, 2.6274548600008529E-001
 1.1345116096999845E+001, 9.5870283080002991E+000, 8.5412263610000991E+000, 0.0000000000000000E+000, 1.2435646429994449E+000, 3.8507823998543245E-002, 2.8783749016383808E-002, 1.2868523987435765E-002, 3.2713231200045811E-001, 2.5072804100000212E-001
 1.1432085931999609E+001, 9.6271807109997098E+000, 8.5463747549997606E+000, 0.0000000000000000E+000, 1.2854956539997602E+000, 4.8029148999376048E-002, 2.8795242002388477E-002, 1.2781089005557078E-002, 3.7301393199913946E-001, 2.7352396499964016E-001
 1.1380426889000319E+001, 9.6094836589995793E+000, 8.5510403889998088E+000, 0.0000000000000000E+000, 1.2742951550005728E+000, 4.2309275999514284E-002, 2.8498413025090485E-002, 1.3028906039835420E-002, 3.5277722000023459E-001, 2.9115928100009114E-001
 1.1405734306000113E+001, 9.6350393469997471E+000, 8.5516496279999501E+000, 0.0000000000000000E+000, 1.2841554319998068E+000, 4.8305158999710329E-002, 2.8873936010995749E-002, 1.2905217019351767E-002, 3.7481137600047987E-001, 2.6683279500002755E-001
 1.1376563404999843E+001, 9.6072949800000060E+000, 8.5516927110002143E+000, 0.0000000000000000E+000, 1.2551768170001196E+000, 3.4780317999775434E-002, 2.8548623980896082E-002, 1.2985039996465275E-002, 3.5788301200068418E-001, 2.7860882100003437E-001
