parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 2.3789090450999538E+001, 2.2963731220000227E+001, 1.6918677860003299E+000, 0.0000000000000000E+000, 2.1279181709998738E+001, 5.2687276769993332E+000, 6.0720438597036264E-001, 5.2193174759945578E+000, 1.1337018364998130E+001
 1.8965786963999562E+001, 1.8140588589999879E+001, 1.6555488320000222E+000, 0.0000000000000000E+000, 1.6523987394000414E+001, 4.7600079320009172E+000, 4.7077811702911276E-001, 5.1759263359790566E+000, 7.1173066920009660E+000
 2.0105259448000197E+001, 1.9324123265000708E+001, 1.6530681310000546E+000, 0.0000000000000000E+000, 1.7769125353000618E+001, 5.1449983479997172E+000, 4.2107166296500509E-001, 5.3585710560182633E+000, 8.0522493879980175E+000
 2.4060593549000011E+001, 2.3013146680999995E+001, 1.6834645680000051E+000, 0.0000000000000000E+000, 2.1333808865000002E+001, 6.1200623529999945E+000, 5.2033172799921346E-001, 5.3288265710002349E+000, 1.0694948601000092E+001
 2.1684399140999986E+001, 2.0498865721999962E+001, 1.5892230630000341E+000, 0.0000000000000000E+000, 1.8951511669000013E+001, 5.3647954779999623E+000, 5.0028058499917449E-001, 5.2426252069993780E+000, 9.0493837639998844E+000
 2.1657292759000029E+001, 2.0875802289999996E+001, 1.7237960620000763E+000, 0.0000000000000000E+000, 1.9227245824000079E+001, 5.4262260479999043E+000, 4.5380842999753668E-001, 5.2590974300022992E+000, 9.1405459150000183E+000
 2.1956909507999967E+001, 2.1165780859000023E+001, 1.5132415229999765E+000, 0.0000000000000000E+000, 1.9399589007000003E+001, 6.0197826239999301E+000, 5.4522197100041581E-001, 5.1745110740031066E+000, 8.7786191310001698E+000
 2.1724984427000095E+001, 2.0951864174000036E+001, 1.5563623599998664E+000, 0.0000000000000000E+000, 1.9305644842999925E+001, 5.4956628609999143E+000, 4.2490813099954039E-001, 5.3051659369975823E+000, 9.1952458139998612E+000
 2.1306462963000001E+001, 2.0551435265999999E+001, 1.5799997739999867E+000, 0.0000000000000000E+000, 1.9015861205000078E+001, 5.5166019360005407E+000, 5.5130070199521697E-001, 5.3308488969972814E+000, 8.7375864609999780E+000
 2.1654933500999960E+001, 2.0957558076999931E+001, 1.6475292419999050E+000, 0.0000000000000000E+000, 1.9345696088999944E+001, 5.9861243640000907E+000, 4.2578377599352280E-001, 5.3411076349979112E+000, 8.7497695650002356E+000
