parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 5.1291498009999996E+000, 4.3067291380000023E+000, 3.7479849150000009E+000, 0.0000000000000000E+000, 6.1003207600000131E-001, 2.4085177999999985E-002, 1.3506235999873439E-002, 5.6197530000083873E-003, 9.7290717000004356E-002, 8.9410596999999647E-002
 5.0669893840000020E+000, 4.2982329450000014E+000, 3.7577318650000002E+000, 0.0000000000000000E+000, 6.0922950600000014E-001, 6.5104119999981336E-003, 1.2726560999989367E-002, 5.5383879999570951E-003, 7.9478721999998392E-002, 1.0777840500000035E-001
 5.0555776680000015E+000, 4.2820160040000008E+000, 3.7336290079999994E+000, 0.0000000000000000E+000, 6.0822042699999912E-001, 4.0053970000011319E-003, 1.2644028999936552E-002, 5.5838079999501744E-003, 7.3373672000005108E-002, 1.1399877199999953E-001
 5.0343218659999973E+000, 4.2658856450000027E+000, 3.7320278479999995E+000, 0.0000000000000000E+000, 5.7943994500000073E-001, 4.3511009999965822E-003, 1.2879584999917704E-002, 5.6124129999544081E-003, 7.3479053999997213E-002, 8.6583737999999855E-002
 5.0967968139999993E+000, 4.3024425720000004E+000, 3.7559795679999981E+000, 0.0000000000000000E+000, 6.4477565199999898E-001, 4.3485989999991759E-003, 1.4631298999923104E-002, 5.5488400000154314E-003, 9.0642539000001854E-002, 1.3435346600000031E-001
 5.0689529499999990E+000, 4.2944986869999973E+000, 3.7677236040000013E+000, 0.0000000000000000E+000, 5.7237512000000024E-001, 1.1826998000000977E-002, 1.4047030000008398E-002, 5.5987010000331239E-003, 7.2830382000004690E-002, 8.2622718000000539E-002
 5.0547158940000019E+000, 4.2799705809999988E+000, 3.7269919359999992E+000, 0.0000000000000000E+000, 5.9623656499999989E-001, 8.0683659999980506E-003, 1.2729359999992695E-002, 5.5451240000436997E-003, 1.0444103400000149E-001, 8.1643739000001325E-002
 5.0516898590000006E+000, 4.2769692730000015E+000, 3.7048469590000002E+000, 0.0000000000000000E+000, 6.1964312400000043E-001, 6.1020000000002739E-003, 1.3114710999940549E-002, 5.6749400000581929E-003, 7.7183791000000390E-002, 9.1471600000000208E-002
 5.0752597470000014E+000, 4.3086568289999994E+000, 3.7687100759999996E+000, 0.0000000000000000E+000, 5.9341241400000033E-001, 7.8110369999988549E-003, 1.2658673999956349E-002, 5.5841069999544857E-003, 8.0597397999994769E-002, 9.0583814000001261E-002
 5.1963395690000000E+000, 4.3988100299999990E+000, 3.7992386859999998E+000, 0.0000000000000000E+000, 7.2211544999999955E-001, 1.9385585999997623E-002, 1.2729357000017316E-002, 5.6813159999533625E-003, 1.2110681599999396E-001, 1.7141454599999850E-001
