parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 5.1898633029999974E+000, 4.4157254860000013E+000, 3.7825644840000026E+000, 0.0000000000000000E+000, 6.9187057899999971E-001, 1.6411602000001579E-002, 7.3282606999998556E-002, 3.2162572999938632E-002, 1.3190160000000439E-001
 5.0952309520000014E+000, 4.3216263720000017E+000, 3.7023733749999987E+000, 0.0000000000000000E+000, 6.4667064600000135E-001, 1.3682898999999082E-002, 7.2548613999957823E-002, 3.1726696000012211E-002, 1.0222381999999985E-001
 5.2387352570000001E+000, 4.4559865639999989E+000, 3.8028340349999992E+000, 0.0000000000000000E+000, 7.3061207699999997E-001, 2.4647552000000239E-002, 7.5270559999856879E-002, 3.3317531000033540E-002, 1.4849110200000126E-001
 5.2887183210000011E+000, 4.4958048999999987E+000, 3.8372508100000005E+000, 0.0000000000000000E+000, 7.6353572799999903E-001, 2.4579902999998460E-002, 7.4268461999919211E-002, 3.2227799999946960E-002, 2.0950261499999812E-001
 5.1533251890000020E+000, 4.3876602019999966E+000, 3.7269848479999999E+000, 0.0000000000000000E+000, 7.0307243799999952E-001, 6.0282268999999111E-002, 7.2988919000060548E-002, 3.1364936999960236E-002, 1.3236147699999989E-001
 5.2867169879999985E+000, 4.4955943069999993E+000, 3.8123621359999991E+000, 0.0000000000000000E+000, 7.6253796800000018E-001, 2.6024734000002603E-002, 7.3674404999986010E-002, 3.3400371000059437E-002, 1.8393851999999367E-001
 5.2243091849999992E+000, 4.4405254950000002E+000, 3.8004090549999994E+000, 0.0000000000000000E+000, 7.2511341399999996E-001, 2.4099536000003141E-002, 7.2572838000241724E-002, 3.1830898999934298E-002, 1.6327507700000332E-001
 5.1387294790000002E+000, 4.3558079659999978E+000, 3.7282579060000014E+000, 0.0000000000000000E+000, 6.5662481800000094E-001, 1.9002899000000184E-002, 7.2971240000004656E-002, 3.1679706999998558E-002, 1.0706787000000162E-001
 5.1611782220000020E+000, 4.3810458249999975E+000, 3.7580916369999997E+000, 0.0000000000000000E+000, 7.0803080799999929E-001, 2.1677077999996186E-002, 7.2170165000030373E-002, 3.2153962999992736E-002, 1.6502702599999886E-001
 5.2713728680000003E+000, 4.4857900969999998E+000, 3.8067491340000013E+000, 0.0000000000000000E+000, 7.7285003799999963E-001, 3.1736723999999050E-002, 7.2827884000179921E-002, 3.2167455000069900E-002, 2.1160811000000201E-001
