parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 9.4436180699999994E-001, 7.8066037899999996E-001, 5.8165325699999992E-001, 0.0000000000000000E+000, 1.5424473299999963E-001, 2.7851639999999955E-002, 7.7558229999852291E-003, 3.1844838000009146E-002, 3.7656910000000599E-002
 8.7901110999999998E-001, 7.2212433300000001E-001, 5.7355791699999981E-001, 0.0000000000000000E+000, 1.6052555000000002E-001, 2.7688227000000287E-002, 6.8206999999991247E-003, 3.0604921999995982E-002, 5.0553547000000032E-002
 8.7139595199999986E-001, 7.1457487399999975E-001, 5.7560461899999993E-001, 0.0000000000000000E+000, 1.5354485099999993E-001, 2.6375935999999989E-002, 6.8099609999947575E-003, 3.0683032000002886E-002, 3.9102723999999700E-002
 8.7200106300000013E-001, 7.1416739099999971E-001, 5.6987954900000037E-001, 0.0000000000000000E+000, 1.5060999900000005E-001, 2.6476581999999471E-002, 7.0303789999894839E-003, 3.0666910999987307E-002, 4.1733614999999613E-002
 8.7374611700000004E-001, 7.1349023299999970E-001, 5.6988400399999994E-001, 0.0000000000000000E+000, 1.5238335800000002E-001, 2.6885211000000409E-002, 7.0436219999812089E-003, 3.0498956999994276E-002, 3.7430582999999906E-002
 8.8950789899999982E-001, 7.3262987000000024E-001, 5.7643910400000009E-001, 0.0000000000000000E+000, 1.6989003199999986E-001, 2.7495589999999348E-002, 6.9482020000015687E-003, 3.0596195999998077E-002, 5.4959062000001557E-002
 8.8440786199999999E-001, 7.2661316500000028E-001, 5.8015351000000037E-001, 0.0000000000000000E+000, 1.6114645399999983E-001, 2.6275333000000067E-002, 6.9217069999680803E-003, 3.0789305000000100E-002, 5.3288328000000051E-002
 8.7568823900000003E-001, 7.1436461200000023E-001, 5.7161365800000041E-001, 0.0000000000000000E+000, 1.5306978199999999E-001, 2.6521905000000290E-002, 6.9357279999988641E-003, 3.0742799999994963E-002, 3.8333445999999771E-002
 8.7305320899999961E-001, 7.1547301900000071E-001, 5.7063211299999983E-001, 0.0000000000000000E+000, 1.5303593100000001E-001, 2.6766413000000489E-002, 9.6086350000079701E-003, 3.0972060000006074E-002, 4.2137135999998243E-002
 8.8285345300000007E-001, 7.2575687599999994E-001, 5.8026275100000024E-001, 0.0000000000000000E+000, 1.5981652199999963E-001, 2.6283900999999776E-002, 7.8440170000015907E-003, 3.0653899000004925E-002, 5.1364457000000030E-002
