parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 2.6577547871000011E+001, 2.3142584679999995E+001, 1.9354659718999990E+001, 0.0000000000000000E+000, 4.0082453889999954E+000, 6.7228429000003587E-002, 4.5852350999666669E-002, 1.9588872999669604E-002, 3.8675203299997207E-001, 4.1284247099999760E-001
 2.6646338412000002E+001, 2.3205763820000016E+001, 1.9402384387999998E+001, 0.0000000000000000E+000, 4.0614049949999966E+000, 1.4658454499999962E-001, 4.6168805000430524E-002, 1.9721103000424733E-002, 6.6544315600000559E-001, 4.2179746300000431E-001
 2.6707843617000016E+001, 2.3185931437999994E+001, 1.9272721923000002E+001, 0.0000000000000000E+000, 4.0155318510000022E+000, 1.9857308000000273E-001, 4.6266203000939754E-002, 1.9806014999840471E-002, 5.2060851900001737E-001, 3.0395063099999575E-001
 2.6694310077999997E+001, 2.3189903139999995E+001, 1.9330698203999994E+001, 0.0000000000000000E+000, 4.1152814790000036E+000, 1.0235645499998824E-001, 4.5425290000650875E-002, 4.4207522999489157E-002, 4.9621365899998082E-001, 4.4948699000000758E-001
 2.6753086221000000E+001, 2.3301403536999999E+001, 1.9457779131999999E+001, 0.0000000000000000E+000, 4.0406536239999937E+000, 4.5698014999999259E-002, 4.6236292000351398E-002, 1.9733218999888891E-002, 5.4994039600002509E-001, 3.9072505800000101E-001
 2.6722173722999997E+001, 2.3223428277000004E+001, 1.9436413065999993E+001, 0.0000000000000000E+000, 4.1115981720000008E+000, 1.0046328999998977E-001, 4.5934669000569528E-002, 1.9535762999495887E-002, 6.5712481300001002E-001, 4.2747240799999986E-001
 2.6713689585000004E+001, 2.3290179352000003E+001, 1.9302436195999999E+001, 0.0000000000000000E+000, 4.1486755429999960E+000, 1.4659381199998833E-001, 4.5626488999953807E-002, 1.9745917000165036E-002, 5.7827675899997288E-001, 3.9575822799999116E-001
 2.6771072735000001E+001, 2.3301861635000005E+001, 1.9431883093999993E+001, 0.0000000000000000E+000, 4.1823149540000024E+000, 1.6239060400000582E-001, 4.5274592000016156E-002, 1.9330078000141526E-002, 5.6839476699998670E-001, 4.5292346400000127E-001
 2.6813855200999999E+001, 2.3353451071000006E+001, 1.9472652691999990E+001, 0.0000000000000000E+000, 4.2191038670000047E+000, 1.3493293399999828E-001, 4.6386385000733554E-002, 1.9789135999889851E-002, 7.5199677700001999E-001, 5.4761061200000682E-001
 2.6759864568000001E+001, 2.3300826771999997E+001, 1.9540388471000004E+001, 0.0000000000000000E+000, 4.2114648849999945E+000, 4.6351183000002294E-002, 4.5724275000768699E-002, 1.9839461000177749E-002, 6.7015251499999096E-001, 6.4943467700000213E-001
