parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
10,10,10,1,10,62,96478,44906,268,10
10,10,10,1,10,62,96478,44906,268,10
10,10,10,1,10,62,96478,44906,268,10
10,10,10,1,10,62,96478,44906,268,10
10,10,10,1,10,62,96478,44906,268,10
10,10,10,1,10,62,96478,44906,268,10
10,10,10,1,10,62,96478,44906,268,10
10,10,10,1,10,62,96478,44906,268,10
10,10,10,1,10,62,96478,44906,268,10
10,10,10,1,10,62,96478,44906,268,10
