parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 3.4511722119999999E+000, 3.0695501979999991E+000, 1.4940130130000004E+000, 0.0000000000000000E+000, 1.6427958660000015E+000, 5.3981042999998508E-002, 1.0671395210002128E+000, 2.1331807100006106E-001, 8.0010286899999450E-001
 3.6195312889999980E+000, 3.2325133939999988E+000, 1.5055864870000004E+000, 0.0000000000000000E+000, 1.8212762690000002E+000, 5.0194013000002258E-002, 1.1887290710001022E+000, 2.1383930099994863E-001, 9.9738983199999875E-001
 3.5458789020000001E+000, 3.1703694039999992E+000, 1.4942029799999994E+000, 0.0000000000000000E+000, 1.7608590270000013E+000, 5.0829150999997630E-002, 1.1136289600001668E+000, 2.1463136100007674E-001, 9.4388220999999817E-001
 3.4232189730000000E+000, 3.0405474250000002E+000, 1.4621075970000001E+000, 0.0000000000000000E+000, 1.6324720620000006E+000, 4.9221740999998431E-002, 1.0459355369999912E+000, 2.1320260099997501E-001, 8.3496383600000179E-001
 3.5027124870000015E+000, 3.1137277700000001E+000, 1.5103425459999995E+000, 0.0000000000000000E+000, 1.6757801120000000E+000, 5.1305131000000337E-002, 1.0867825350000802E+000, 2.1323156700001622E-001, 8.5773323699999438E-001
 3.4841130550000003E+000, 3.1112067640000012E+000, 1.5057893940000007E+000, 0.0000000000000000E+000, 1.6945317289999999E+000, 1.0323027899999992E-001, 1.0439982570000135E+000, 2.3233131600000245E-001, 8.3780132900000215E-001
 3.5360542120000011E+000, 3.1454119139999990E+000, 1.5211805860000003E+000, 0.0000000000000000E+000, 1.7341121909999995E+000, 8.2147271999999383E-002, 1.0856538630000419E+000, 2.3569581300000042E-001, 8.8516207300000360E-001
 3.6519018790000004E+000, 3.2578659239999999E+000, 1.5483582680000012E+000, 0.0000000000000000E+000, 1.8251917629999994E+000, 5.0675795999999274E-002, 1.1948410699998506E+000, 2.1362744599999761E-001, 1.0085724029999996E+000
 3.4883515750000003E+000, 3.0824296560000009E+000, 1.5432618370000002E+000, 0.0000000000000000E+000, 1.6365756700000000E+000, 5.1552815999998280E-002, 1.0608358239998186E+000, 2.1442078499998107E-001, 8.2963329799999919E-001
 3.5383525249999996E+000, 3.1447328080000019E+000, 1.5015382959999988E+000, 0.0000000000000000E+000, 1.7229440570000003E+000, 5.2226905000002155E-002, 1.1174438680000156E+000, 2.1366074500005272E-001, 9.1495526299999597E-001
