parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 5.9789282240000023E+000, 5.1476512289999992E+000, 3.8931921260000006E+000, 0.0000000000000000E+000, 1.3644743139999989E+000, 1.8511720299999901E-001, 9.8957782000011818E-002, 3.2124224400003243E-001, 4.9322520000000125E-001
 5.9996283000000012E+000, 5.1826930590000018E+000, 3.9779624949999990E+000, 0.0000000000000000E+000, 1.4425242969999976E+000, 1.6179107199999976E-001, 1.0018098100008999E-001, 3.1406279499994749E-001, 5.6030328599999280E-001
 5.8952524319999986E+000, 5.0661281209999984E+000, 3.9210618410000002E+000, 0.0000000000000000E+000, 1.2891186369999996E+000, 1.5597010299999958E-001, 1.0146813999993842E-001, 3.1316779999997912E-001, 4.4648907200000920E-001
 5.8738633970000009E+000, 5.0858124799999995E+000, 3.8708318760000004E+000, 0.0000000000000000E+000, 1.3340810829999992E+000, 1.5995099499999732E-001, 1.0167174799994871E-001, 3.1565076899991062E-001, 4.8238450499999797E-001
 5.9292561500000005E+000, 5.1092502199999998E+000, 3.8679172569999993E+000, 0.0000000000000000E+000, 1.3633690489999992E+000, 1.5940892900000225E-001, 1.0034093599997274E-001, 3.1056429600005142E-001, 5.0567292600000879E-001
 5.8823659610000014E+000, 5.0626958210000019E+000, 3.8622411049999981E+000, 0.0000000000000000E+000, 1.3084212600000020E+000, 1.5584830599999488E-001, 1.0542116599997708E-001, 3.1832833899999180E-001, 4.6437989099999921E-001
 5.8899959830000004E+000, 5.0981943170000017E+000, 3.8700951640000003E+000, 0.0000000000000000E+000, 1.3575935600000006E+000, 1.8347318399999679E-001, 1.1097912099995000E-001, 3.1421374500008437E-001, 4.7901428800000456E-001
 5.9260870030000028E+000, 5.0805141169999999E+000, 3.8641248460000002E+000, 0.0000000000000000E+000, 1.3582995020000004E+000, 1.5506107600000352E-001, 1.0029059199984314E-001, 3.1444937999999123E-001, 4.7918349600000010E-001
 5.8430730950000020E+000, 5.0453285910000005E+000, 3.8256962849999994E+000, 0.0000000000000000E+000, 1.3335107250000000E+000, 1.8249930200000097E-001, 1.0397118899997615E-001, 3.1166913700005860E-001, 4.5200947800000879E-001
 5.8781380470000002E+000, 5.0631977369999994E+000, 3.8809004199999997E+000, 0.0000000000000000E+000, 1.2847066079999987E+000, 1.5976566099999889E-001, 1.0165343599997900E-001, 3.1244993899994622E-001, 4.3618237799999804E-001
