parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 4.0488673599995764E+000, 4.0151779750001424E+000, 5.5309199999987868E-001, 0.0000000000000000E+000, 3.6508194369991998E+000, 7.8084954300470599E-001, 1.4370381760195414E+000, 5.0831464999146192E-001, 2.8726299189975180E+000
 3.8252081860002818E+000, 3.7924230809983328E+000, 5.4057212199973037E-001, 0.0000000000000000E+000, 3.4405444640008227E+000, 7.4908220400220671E-001, 1.3119291229613737E+000, 4.7476104800398389E-001, 2.6945403099991836E+000
 3.8464216990003024E+000, 3.8137037319997944E+000, 5.4188658899806796E-001, 0.0000000000000000E+000, 3.4605962670002555E+000, 7.4902766500008511E-001, 1.3152156020291841E+000, 4.7651444000803167E-001, 2.7151239239974529E+000
 3.8432219900007567E+000, 3.8102484579985685E+000, 5.4298252499938826E-001, 0.0000000000000000E+000, 3.4561863249987255E+000, 7.5567350899814301E-001, 1.3167373870132906E+000, 4.7754123003323912E-001, 2.7044068570087347E+000
 3.8354246430008061E+000, 3.8020018530003199E+000, 5.3991973599886478E-001, 0.0000000000000000E+000, 3.4505252459994153E+000, 7.4373288499850787E-001, 1.3092792170039047E+000, 4.7461631197006682E-001, 2.7105499650028833E+000
 4.0091019499991489E+000, 3.9758243349983786E+000, 5.3982579800367603E-001, 0.0000000000000000E+000, 3.6250068700005613E+000, 7.7935033400217435E-001, 1.4623070899879167E+000, 5.0592888698338356E-001, 2.8490183370013256E+000
 3.8417742860015096E+000, 3.8089911220008617E+000, 5.4482464300053834E-001, 0.0000000000000000E+000, 3.4532122980008353E+000, 7.4069390900240251E-001, 1.3161937119925824E+000, 4.6821409305766792E-001, 2.7155825029944936E+000
 3.8330641560023651E+000, 3.7994495969978743E+000, 5.4390307699713958E-001, 0.0000000000000000E+000, 3.4447321269972235E+000, 7.3989058999950430E-001, 1.3031537979986751E+000, 4.7006933798911632E-001, 2.7083030970102300E+000
 3.8166831370017462E+000, 3.7834391510000387E+000, 5.4283486100393930E-001, 0.0000000000000000E+000, 3.4297969969984479E+000, 7.4017845700109319E-001, 1.2971831440995629E+000, 4.7073255498798972E-001, 2.6934399159990789E+000
 3.8155254820026130E+000, 3.7825441199997840E+000, 5.4538751300151489E-001, 0.0000000000000000E+000, 3.4259755510006471E+000, 7.4075589300218780E-001, 1.2981891289264240E+000, 4.7100022601898672E-001, 2.6886535620192262E+000
