parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI P2P put,MPI P2P get,MPI P2P sync,MPI graph info
 9.7539767900025254E-001, 9.4204694299901348E-001, 5.4587850199936838E-001, 0.0000000000000000E+000, 6.1685924399921532E-001, 2.1952734700380461E-001, 2.3341040996228912E-002, 9.7811789992192644E-003, 4.2983307899999090E-001, 2.1582362800108967E-001
 9.7437272700085487E-001, 9.4106178600054591E-001, 5.4428708699992967E-001, 0.0000000000000000E+000, 6.1794108300000516E-001, 2.2121484899980715E-001, 2.3783839912994154E-002, 9.8710290012604673E-003, 4.2969311199931326E-001, 2.1531227199943714E-001
 9.7446697499958645E-001, 9.4157611400032692E-001, 5.4526982599941221E-001, 0.0000000000000000E+000, 6.1708146400019359E-001, 2.1793965200458842E-001, 2.3684405054609670E-002, 9.8820520220215258E-003, 4.3165554600795986E-001, 2.1608730900106821E-001
 9.8391308699956426E-001, 9.5022309200044219E-001, 5.4482372700090309E-001, 0.0000000000000000E+000, 6.2646403799953987E-001, 2.2835390000363986E-001, 2.3621293963060452E-002, 9.8100290063030116E-003, 4.3099015200164104E-001, 2.1621163000122579E-001
 9.9009607099810637E-001, 9.5610510500000601E-001, 5.4603447500176117E-001, 0.0000000000000000E+000, 6.3386922500035325E-001, 2.3592792500357973E-001, 2.3407460961152537E-002, 9.7607170168885204E-003, 4.3779052700483589E-001, 2.2213669099846811E-001
 9.7961666999890440E-001, 9.4666865300177960E-001, 5.5373690000260467E-001, 0.0000000000000000E+000, 6.1399336900012713E-001, 2.1610507800869527E-001, 2.4209652061927045E-002, 1.0170514991841628E-002, 4.3071287598604613E-001, 2.1523370799877739E-001
 9.7588433099826943E-001, 9.4342059999462435E-001, 5.4993926699762596E-001, 0.0000000000000000E+000, 6.1453730700031883E-001, 2.1683728400239488E-001, 2.3982734096534841E-002, 9.9404830434650648E-003, 4.3064783700947373E-001, 2.1573948200102677E-001
 9.7634205500162352E-001, 9.4321756799490686E-001, 5.4923595999980535E-001, 0.0000000000000000E+000, 6.1488091100318343E-001, 2.1779979799930516E-001, 2.4165257952063257E-002, 1.0042235046967107E-002, 4.3034682200141106E-001, 2.1545082899820045E-001
 9.7710081000104765E-001, 9.4431661899943720E-001, 5.4873440699793719E-001, 0.0000000000000000E+000, 6.1644738099585084E-001, 2.1885798000448631E-001, 2.4032043067109043E-002, 9.9543750266093411E-003, 4.3091756100284329E-001, 2.1532021300527049E-001
 9.7556371000428044E-001, 9.4228383800145821E-001, 5.4638274100079798E-001, 0.0000000000000000E+000, 6.1777421699616752E-001, 2.2010106799689311E-001, 2.4199392015361809E-002, 1.0079354002755281E-002, 4.3198911999979828E-001, 2.1481491800113872E-001
