parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,MPI RMA put,MPI RMA get,MPI RMA sync
 5.8037907869977516E+000, 5.7712173790002907E+000, 5.7851907499798472E-001, 1.4816254500146897E-001, 5.3331213459991886E+000, 7.4106700499692124E-001, 1.3655477530228382E+000, 4.7686574799149639E-001, 4.5433785660034118E+000
 5.8253419569987273E+000, 5.7916427970005770E+000, 5.7676753600139818E-001, 1.3831418899985692E-001, 5.3566221960004441E+000, 7.4156578000020090E-001, 1.6056387680325770E+000, 4.8213594799358361E-001, 4.5656852490042183E+000
 5.8603505770006450E+000, 5.8268457160004345E+000, 5.7957197499808899E-001, 1.4111115399782648E-001, 5.3902291130002595E+000, 7.4345406700263084E-001, 1.4050946790637227E+000, 4.8070565400280429E-001, 4.5975884790018426E+000
 5.8662589799994294E+000, 5.8323619079992568E+000, 5.8329653400028292E-001, 1.4858988599985423E-001, 5.3912054400016132E+000, 7.3980931499909275E-001, 1.4138723840246712E+000, 4.8122866498374606E-001, 4.6027247109991549E+000
 5.8324936280012025E+000, 5.7987046120006198E+000, 5.7724979499857909E-001, 1.4285168099945622E-001, 5.3640272560003268E+000, 7.5276477700140276E-001, 1.3556613529788137E+000, 4.7873858798880065E-001, 4.5736602889887763E+000
 5.7171999999959553E+000, 5.6835662809994574E+000, 5.7958727999766779E-001, 1.5337127900193082E-001, 5.2453159990018321E+000, 7.3667466599908948E-001, 1.3685711310267834E+000, 4.7481750996621486E-001, 4.4592959359938504E+000
 5.7749933860004603E+000, 5.7390017960010482E+000, 5.7671889600305803E-001, 1.5667566900128804E-001, 5.3035187069990570E+000, 7.3698203199955969E-001, 1.3890763159170092E+000, 4.7247216699452110E-001, 4.5172029190034664E+000
 5.7813925720042789E+000, 5.7478107879987874E+000, 5.7947872899922004E-001, 1.6351301400163720E-001, 5.3096320620002189E+000, 7.6485805699712728E-001, 1.4183900800317133E+000, 4.7614359796489225E-001, 4.4953385930075456E+000
 5.7259539090000544E+000, 5.6918806710000354E+000, 5.7719050100240565E-001, 1.4335656699722676E-001, 5.2562104679977892E+000, 7.3754724399987026E-001, 1.3086472780596523E+000, 4.7509409597341801E-001, 4.4699330830007966E+000
 5.7315299129995765E+000, 5.6981472410002425E+000, 5.7588290300054723E-001, 1.4082789200438128E-001, 5.2626266840002245E+000, 7.4051065700268737E-001, 1.3263298381243658E+000, 4.7534339603680564E-001, 4.4729816119993302E+000
