parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
100,100,100,1,100,1050,889580,343002,3350
100,100,100,1,100,1050,889580,343003,3350
100,100,100,1,100,1050,889580,343007,3350
100,100,100,1,100,1050,889580,343010,3350
100,100,100,1,100,1050,889580,343019,3350
100,100,100,1,100,1050,889580,342987,3350
100,100,100,1,100,1050,889580,343014,3350
100,100,100,1,100,1050,889580,343009,3350
100,100,100,1,100,1050,889580,342992,3350
100,100,100,1,100,1050,889580,343010,3350
