parcel merge (total),find nearest,build graphs,create comm,resolve graphs,MPI allreduce,SHMEM put,SHMEM get,SHMEM sync
 6.7203942780000432E+000, 6.4110647799998617E+000, 2.3348300160001543E+000, 0.0000000000000000E+000, 5.9106652499999655E+000, 1.8382194499998548E+000, 6.6549178499320760E-001, 1.4176123440019239E+000, 4.0780512159992952E+000
 6.4699092320001057E+000, 6.1776008370000852E+000, 2.2977294539999491E+000, 0.0000000000000000E+000, 5.6805838849998906E+000, 1.6737139560003129E+000, 6.1837989898057799E-001, 1.3359384459969021E+000, 4.0125702450004042E+000
 6.4834042389999524E+000, 6.1809946189999607E+000, 2.3304975000000923E+000, 0.0000000000000000E+000, 5.6878608060000602E+000, 1.6749870719997375E+000, 6.2468701900766632E-001, 1.3307639589997962E+000, 4.0183193209998649E+000
 6.4854577790000292E+000, 6.1869771759999708E+000, 2.3313507209999784E+000, 0.0000000000000000E+000, 5.6889493150001726E+000, 1.6800100109998084E+000, 6.1620831200360726E-001, 1.3298818869944000E+000, 4.0140496549993543E+000
 6.4771329830000468E+000, 6.1760630510001704E+000, 2.3322918920000291E+000, 0.0000000000000000E+000, 5.6812894619999383E+000, 1.6767279160000328E+000, 6.1638670499652903E-001, 1.3317679209945936E+000, 4.0117830049999554E+000
 6.6889328339999565E+000, 6.3878601260000210E+000, 2.3552207100000828E+000, 0.0000000000000000E+000, 5.8731890969999654E+000, 1.7394864959998415E+000, 7.3058665399366873E-001, 1.3829729940000846E+000, 4.1388499920003028E+000
 6.4442654780001760E+000, 6.1433034029999760E+000, 2.3244939979999515E+000, 0.0000000000000000E+000, 5.6506051730000593E+000, 1.6465829800000620E+000, 6.1399132900399422E-001, 1.3368397019980023E+000, 4.0094458560000703E+000
 6.4522691660000362E+000, 6.1560840629999802E+000, 2.3126339239999254E+000, 0.0000000000000000E+000, 5.6554344200000628E+000, 1.6441996689993346E+000, 6.0863760399422517E-001, 1.3318981560036320E+000, 4.0170853230001740E+000
 7.6983344630000090E+000, 7.3581968649999396E+000, 2.9180137869999498E+000, 0.0000000000000000E+000, 6.2744600229999321E+000, 1.6479362459996025E+000, 6.2095572600188120E-001, 1.3356567040059701E+000, 4.6283221530001128E+000
 6.4449736660000951E+000, 6.1457505299999866E+000, 2.3386681660000761E+000, 0.0000000000000000E+000, 5.6520446910000430E+000, 1.6453537310001138E+000, 6.1728668498915340E-001, 1.3331511830015472E+000, 4.0130576629995858E+000
